trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
224,False,"{'a': 0.4, 'e': 0.4356824462767121}",35,14,-9.500561438052173,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.4, 'e': 0.431176516798666}",25,0,30.413515085062105,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
226,False,"{'a': 0.4, 'e': 0.42665980793015723}",20,16,6.480192248316096,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.4, 'e': 0.42213243258867184}",30,0,-23.294156344019033,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
228,False,"{'a': 0.4, 'e': 0.41759450395835795}",20,14,-0.509670046125311,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.4, 'e': 0.41304613548719465}",20,14,-29.075009107334772,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
230,False,"{'a': 0.4, 'e': 0.40848744088415717}",20,0,-61.09234544374807,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
231,False,"{'a': 0.4, 'e': 0.40391853411637274}",25,15,0.7429663008304082,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
232,False,"{'a': 0.4, 'e': 0.39933952940627304}",30,12,-45.92482537085085,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
233,False,"{'a': 0.4, 'e': 0.3947505412287369}",25,14,-35.9363167396159,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
234,False,"{'a': 0.4, 'e': 0.39015168430823005}",25,15,-2.746099027712872,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
235,False,"{'a': 0.4, 'e': 0.38554307361593576}",25,0,-101.43948212662461,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
236,False,"{'a': 0.4, 'e': 0.38092482436688163}",20,14,5.853275517984521,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.4, 'e': 0.37629705201705793}",20,9,6.159292082768579,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.4, 'e': 0.37165987226053276}",25,5,-3.6905241153515935,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
239,False,"{'a': 0.4, 'e': 0.3670134010265582}",20,6,-79.64153318698416,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
240,False,"{'a': 0.4, 'e': 0.3623577544766734}",20,3,-46.79190755153042,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
241,False,"{'a': 0.4, 'e': 0.35769304900179927}",20,9,9.874750807917511,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.4, 'e': 0.3530194012193302}",20,15,-3.2801028319607095,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.4, 'e': 0.34833692797021676}",25,11,29.17341347365428,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.4, 'e': 0.34364574631604683}",20,11,-0.8787215761559504,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.4, 'e': 0.338945973536117}",25,10,21.329398796671164,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.4, 'e': 0.3342377271245024}",20,4,17.630118750300923,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.4, 'e': 0.3295211247871177}",25,10,26.924257102700867,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.4, 'e': 0.32479628443877606}",20,13,-5.69422586454436,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.4, 'e': 0.32006332420023964}",20,6,1.6331146748235483,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
